CodigoArticulo,DESCRIPCION,PRESENTACION,Precios,GrupoTerapeutico,Año
9814,Risperidona ,Tableta 1 mg,RD$2.00,Antpsicoticos,2022
1793,Risperidona ,Tableta 2 mg,RD$2.00,Antpsicoticos,2022
9887,Rodillera Grande,Unidad,RD$125.00,Insumos Ortopédicos,2022
9494,Rodillera Mediana,Unidad,RD$125.00,Insumos Ortopédicos,2022
9888,Rodillera Pequeña,Unidad,RD$125.00,Insumos Ortopédicos,2022
1829,Salbutamol ,Tabletan4 mg,RD$0.50,Antiasmatico,2022
10401,Salbutamol Sulfato 100 mcg/Inhalacion,Frasco Aerosol,RD$60.00,Antiasmatico,2022
1831,Salbutamol.P/Nebulizar 5mg/ml,Frasco Gotero10 ml,RD$25.00,Antiasmatico,2022
1885,Sales de Rehidratación Oral ,Sobre,RD$4.00,Diarrea/Rehidratación,2022
9545,Sertralina ,Tableta 50 mg,RD$2.00,Antidepresivo,2022
10242,Simvastatina,Tableta 40 mg,RD$1.00,Reguladores de Lipidos,2022
1375,Simvastatina ,Tableta 20 mg,RD$0.50,Reguladores de Lipidos,2022
1882,Solucion  Ringer con Lactato Frasco 1000 ml,Frasco 1000 ml,RD$20.00,"Soluciones Correctoras Desordenes de Agua, Electrolitos, y Acido Base",2022
9225,Solución Cloruro de Sodio 0.9%,Frasco 100 ml,RD$20.00,"Soluciones Correctoras Desordenes de Agua, Electrolitos, y Acido Base",2022
1872,Solucion Cloruro Dextrosa 0.5% + Cloruro de Sodio 0.33 Frasco 1000 ml,Frasco 1000 ml,RD$20.00,"Soluciones Correctoras Desordenes de Agua, Electrolitos, y Acido Base",2022
1863,Solución Cloruro Sódico 0.9% Iny. I.V. Fco. 1000 ml,Frasco 1000 ml,RD$40.00,"Soluciones Correctoras Desordenes de Agua, Electrolitos, y Acido Base",2022
2333,Sonda Foley 2 Vías No.14,Unidad,RD$20.00,Insumo Hospitalario,2022
2334,Sonda Foley 2 Vías No.16,Unidad,RD$20.00,Insumo Hospitalario,2022
3310,Sucralfato Granulado  1 g,Sobre 1 g,RD$15.00,Antiulceroso,2022
9521,Sulfadiazina Argéntica 1% Crema,Tubo 30 crema,RD$50.00,Antiinfeccioso-Antisepticono,2022
10394,Sulfato de Zinc ,Tableta 200 mg,RD$3.00,Micronutriente,2022
1355,Sulfato Ferroso ,Tableta 300 mg,RD$0.30,Antianémico,2022
10371,Sulfato Ferroso  ,Frasco 60 ml,RD$30.00,Antianémico,2022
9359,Sulfato Ferroso + Ácido Fólico,Tableta 300 mg/5 mg,RD$1.50,Antianémico,2022
9119,Sulfato Ferroso 125 mg/mL Gotas,Frasco 30 ml,RD$30.00,Antianémico,2022
10761,Termometro digital oral,Unidad,RD$110.00,Insumo Hospitalario,2022
1248,Tinidazol  ,Tableta 500 mg,RD$3.00,Antimicrobiano,2022
9496,Tobillera Grande,Unidad,RD$160.00,Insumos Ortopédicos,2022
9495,Tobillera Mediana,Unidad,RD$160.00,Insumos Ortopédicos,2022
10328,Tobillera Mediana Rigida,Unidad,RD$485.00,Insumos Ortopédicos,2022
9890,Tobillera Pequeña,Unidad,RD$200.00,Insumos Ortopédicos,2022
1952,Tobramicina 0.3% Gotas Oftálmicas,Frasco Gotero 5 ml,RD$30.00,Antibiótico/Oftálmico,2022
9124,Trimetoprim-Sulfametoxazol,Tableta 160 mg/800 mg,RD$1.50,Antibacteriano/Antibioticos,2022
1966,Trimetroprím-Sulfametoxazol (40/200mg) 5 mL,Frasco 120 ml,RD$20.00,Antibacteriano/Antibioticos,2022
10370,Valsartán ,Tableta 160 mg,RD$3.00,Cardiovasculares/Antihipertensivo,2022
9885,"Venda Elástica 3"" x 5  Yardas",Unidad,RD$15.00,Insumo Hospitalario,2022
1990,"Venda Elástica 4"" x 5 Yardas",Unidad,RD$15.00,Insumo Hospitalario,2022
9886,"Venda Elástica 6"" x  5 Yardas",Unidad,RD$15.00,Insumo Hospitalario,2022
1431,Verapamil  80 mg,Tableta 80 mg,RD$1.50,Cardiovasculares/Antianginoso,2022
1915,"Vitamina A 50,000 UI","Perla 50,000 UI",RD$1.50,Vitaminas,2022
1912,Vitamina A Y D(3000 UI + 300 UI),"Perla 3,000 /300 UI",RD$1.50,Vitaminas,2022
1914,Vitamina E 400 UI,Perla 400 UI,RD$1.50,Vitaminas,2022
1916,Vitaminas Neurotrópicas +Dexametasona + Dexametasona ,Ampollas ,RD$20.00,Vitaminas,2022
9531,Vitaminas y Minerales ,Capsula,RD$1.50,Vitaminas,2022
9756,Warfarina Sódica ,Tableta 5 mg,RD$5.00,Anticoagulante,2022
10385,Yodopovidona Solución al 10%,Frasco 120 ml,RD$50.00,Desinfectantes/Antiséptico,2022
1945,Aceite de Higado de Bacalao Emulsión (Vit.A10000UI+D1500UI+Vitc.200mg/5ml) Fco.180ml,Frasco 180 ml,RD$40.00,Vitaminas,2023
1034,Acetaminofén (Paracetamol) ,Tableta 500 mg,RD$0.30,Analgésico/Antipirético,2023
10064,Acetaminofen (Paracetamol) 100 mg Supositorio,Supositorio 100 mg,RD$5.00,Analgésico/Antipirético,2023
1037,Acetaminofén (Paracetamol) Gotas Pedatricas 100 mg/ml,Frasco Gotero 15 ml,RD$15.00,Analgésico/Antipirético,2023
10227,Acetaminofen (Paracetamol) Jbe. 125mg/5ml,Frasco 120 ml,RD$15.00,Analgésico/Antipirético,2023
10741,Acetaminofen+Cafeina ,Tableta 500mg/65 mg,RD$25.00,Analgesico-Antimigrañoso,2023
10593,Acetato De Medroxiprogesterona Inyección de Liberación Retardada 150 mg/ml,Vial,RD$50.00,Hormona Contraceptivas,2023
9370,Acetilcisteína ,Ampolla 300 mg/3 ml,RD$15.00,Mucolítico,2023
1252,Aciclovir ,Tableta 400 mg,RD$1.50,Antiviral,2023
9371,Aciclovir 200 mg/5 mL Suspensión,Frasco 60 ml,RD$40.00,Antiviral,2023
1251,Aciclovir Crema ,Tubo de 5 g,RD$10.00,Antiviral,2023
1041,Acido Acetilsalicílico 325mg,Tableta 325 mg,RD$1.00,Analgésico/Antipirético,2023
1042,Acido Acetilsalicílico 81mg,Tableta 81 mg,RD$0.50,Cardiovasculares/Antitrombotico,2023
9329,Acido Ascórbico (Vit. C) 500 mg,Tableta 500 mg,RD$2.00,Vitaminas,2023
1346,Acido Fólico  5 mg,Tableta 5 mg,RD$0.20,Vitaminas,2023
9358,Acido Fólico + Vit. B12 (5mg + 500mcg)/ 5mL,Frasco 120 ml,RD$25.00,Vitaminas,2023
1345,Acido Fólico 5mg/5mL Jarabe,Frasco 120 ml,RD$13.00,Antianémico,2023
1946,Acido Mefenámico ,Tableta 500 mg,RD$0.70,Antiinflamatorio No Esteroides,2023
9501,Ácido Valpróico ,Tableta 50 mg,RD$12.00,Anticonvulsivante/Trastorno Bipolar,2023
1696,Acido valproico 200 mg/ml Solucion Oral,Frasco 40 ml,RD$90.00,Anticonvulsivante/Trastorno Bipolar,2023
1891,Agua Para Inyectable,Ampolla 10 ml,RD$3.00,Insumo Hospitalario,2023
1893,Agua Para Inyetable,Ampolla 5 ml,RD$3.00,Insumo Hospitalario,2023
1216,Albendazol  Suspensión (dosis única) ,Sobre 400 mg/10 ml,RD$5.00,Antihelmintico/Antiparasitario,2023
1215,Albendazol 400 mg   (dosis unica),Tableta 400 mg,RD$1.00,Antihelmintico/Antiparasitario,2023
9030,Albúmina Humana 20%,Frasco 50 ml,"RD$2,000.00",Sustituto del Plasma,2023
9079,Alcohol Isopropílico  ,Frasco 120 ml,RD$20.00,Insumo Hospitalario,2023
9344,Alendronato ,Tableta 70 mg,RD$1.00,Bifosfonato,2023
9510,Algodón Torunda ,Funda 7 g,RD$5.00,Insumo Hospitalario,2023
9718,Alopurinol 300 mg,Tableta 300 mg,RD$1.50,Uricosúrico,2023
1845,Ambroxol  ,Tableta 30 mg,RD$3.00,Mucolítico,2023
9519,Ambroxol 15 mg/5mL Jarabe,Frasco 120 ml,RD$15.00,Mucolítico,2023
1120,Amikacina  ,Vial 500 mg/2 ml,RD$15.00,Antibiótico/Aminoglucosido,2023
9376,Amiodarona ,Tableta 200 mg,RD$4.00,Cardiovasculares/Antiarritmico,2023
1772,Amitriptilína ,Tableta 25 mg,RD$1.50,Antidepresivo/Trastorno del humor,2023
1405,Amlodipina ,Tableta 5 mg,RD$0.20,Cardiovasculares/Antihipertensivo,2023
1404,Amlodipina ,Tableta 10 mg,RD$0.20,Cardiovasculares/Antihipertensivo,2023
2816,Amoxicilina ,Capsula 500 mg,RD$1.00,Antibacteriano/Antibioticos,2023
3289,Amoxicilina  + Ácido Clavulánico ,Capsula 500 mg/125 mg,RD$5.00,Antibioticos/Betalactámico,2023
3290,Amoxicilina 250 mg + Ácido Clavulánico 62.5 mg /5mL,Frasco 60 ml,RD$60.00,Antibioticos/Betalactámico,2023
3288,Amoxicilina 250mg/5mL Polvo para Suspensión Frasco 120 mL,Frasco 120 ml,RD$25.00,Antibacteriano/Antibioticos,2023
1605,Antiespasmódico (N-Butil Bromuro-Hioscina)  20 mg/1 ml,Ampolla ,RD$15.00,Antiespasmódico,2023
1606,Antiespasmodico N-Butil Hioscina-Bromuro de Hioscina ,Tableta 10 mg,RD$5.00,Antiespasmódico,2023
10982,Antigripal ,Tableta ,RD$3.00,Antigripal,2023
1877,Antigripal (con Dextrometorfan 10 mg),Frasco 120 ml,RD$15.00,Antigripal,2023
9484,Atenolol ,Tableta 50 mg,RD$0.20,Cardiovasculares/Antihipertensivo,2023
1378,Atenolol  ,Tableta  100 mg,RD$0.30,Cardiovasculares/Antihipertensivo,2023
1381,Atenolol + Clortalidona ,Tableta 50 mg/12.5 mg,RD$1.50,Cardiovasculares/Antihipertensivo,2023
1379,Atenolol + Clortalidona 100 mg / 25 mg,Tableta 100mg/25mg,RD$2.00,Cardiovasculares/Antihipertensivo,2023
9483,Azitromicina ,Capsula 500 mg,RD$4.00,Antibacteriano/Antibioticos,2023
9482,Azitromicina 200 mg/5mL Polvo para Suspensión,Frasco 30 ml,RD$25.00,Antibacteriano/Antibioticos,2023
2031,Bajante De Suero ,Unidad,RD$10.00,Insumo Hospitalario,2023
9491,Bastón Ajustable de Aluminio Cuatro Apoyos,Unidad,RD$350.00,Insumos Ortopédicos,2023
9490,Bastón Ajustable de Aluminio un Apoyo,Unidad,RD$200.00,Insumos Ortopédicos,2023
9646,Betahistina ,Tableta 6 mg,RD$3.00,Antivertiginosos,2023
9174,Betametasona 0.1%  Crema,Tubo 15 g,RD$50.00,Antiinflamatorio Esteroideo,2023
9796,Bismuto Subsalicilato  Suspension Oral,Frasco 100 ml,RD$50.00,Antidiarreico,2023
10251,Bisoprolol ,Tableta 2.5 mg,RD$3.00,Cardiovasculares/Antianginoso,2023
10252,Bisoprolol ,Tableta 5 mg,RD$3.00,Cardiovasculares/Antianginoso,2023
2005,Bolsa Colectora de Orina 2 L,Unidad,RD$10.00,Insumo Hospitalario,2023
2006,Bolsa Colectora de Orina Pediátrica 100 mL,Unidad,RD$5.00,Insumo Hospitalario,2023
10255,Budesonida 100 mcg/Inhalaion,Frasco Spray,RD$390.00,Antiinflamatorio Esteroideo,2023
10330,Cabestrillo Sencillo (L),Unidad,RD$150.00,Insumos Ortopédicos,2023
10331,Cabestrillo Sencillo (S),Unidad,RD$150.00,Insumos Ortopédicos,2023
9489,Cabestrillo Sencillo Medium,Unidad,RD$150.00,Insumos Ortopédicos,2023
10417,Calamina Locion 0.15%,Frasco 120 ml,RD$45.00,Emoliente Cutaneo,2023
1897,Calcio Carbonato 600 mg + Vit. D3 400UI,Tableta 600mg/400 UI,RD$1.00,Vitaminas,2023
10631,Candesartan ,Tableta 16 mg,RD$2.50,Cardiovasculares/Antihipertensivo,2023
10744,Candesartan ,Tableta 32 mg,RD$3.50,Cardiovasculares/Antihipertensivo,2023
1433,Captoprilo,Tableta 50 mg,RD$0.70,Cardiovasculares/Antihipertensivo,2023
1105,Carbamacepina  ,Tableta 200 mg,RD$1.00,Trastorno Bipolar,2023
9275,Carbonato de Litio ,Tableta 300 mg,RD$3.00,Trastorno Bipolar,2023
9033,Carvedilol ,Tableta 25 mg,RD$1.50,Cardiovasculares/Antianginoso,2023
9031,Carvedilol ,Tableta 6.25 mg,RD$0.70,Cardiovasculares/Antianginoso,2023
9032,Carvedilol ,Tableta 12.5 mg,RD$0.70,Cardiovasculares/Antianginoso,2023
2223,Catéter E.V. # 18,Unidad,RD$15.00,Insumo Hospitalario,2023
2224,Catéter E.V. # 20,Unidad,RD$15.00,Insumo Hospitalario,2023
2225,Catéter E.V. # 22,Unidad,RD$15.00,Insumo Hospitalario,2023
2226,Catéter E.V. # 24,Unidad,RD$15.00,Insumo Hospitalario,2023
1136,Cefalexina  ,Capsula 500 mg,RD$2.00,Antibacteriano/Antibioticos,2023
1137,Cefalexina 250 mg/5mL   Suspensión,Frasco 120 ml,RD$35.00,Antibacteriano/Antibioticos,2023
1147,Ceftriazona 1g,Vial ,RD$10.00,Antibacteriano/Antibioticos,2023
9529,Cetirizina ,Tableta 10 mg,RD$0.50,Antihistamínico,2023
10254,Cetirizina Jbe.5mg/5ml,Frasco 60 ml,RD$20.00,Antihistamínico,2023
1150,Ciprofloxacina ,Tableta 500 mg,RD$1.00,Antibiótico/Quinolonas,2023
9819,Citicolina ,Tableta 500 mg,RD$15.00,"Psicoestimulante, Neuroprotector, Nootropico",2023
9162,Claritromicina ,Tableta 500 mg,RD$5.00,Antibacteriano/Antibioticos,2023
9163,Claritromicina 250 mg/5mL Suspension,Frasco 60 ml,RD$90.00,Antibacteriano/Antibioticos,2023
9164,Clindamicina  ,Capsula 300 mg,RD$5.00,Antibacteriano/Antibioticos,2023
10281,Clindamicina Óvulo,Ovulo 100 mg,RD$10.00,Antibacteriano/Antibioticos,2023
9350,Clopidogrel ,Tableta 75 mg,RD$1.50,Cardiovasculares/Antiagregante Plaquetario,2023
10233,Clorpromazina ,Tableta 25 mg,RD$6.00,Antipsicoticos,2023
1781,Clorpromazina ,Tableta 100m,RD$7.00,Antipsicoticos,2023
10245,Clorpromazina ,Tableta 200 mg,RD$15.00,Antipsicoticos,2023
10233,Clorpromazina ,Tableta 25 mg,RD$6.00,Antipsicoticos,2023
9244,Cloruro de Sodio 6.5 mg/ mL Gotas Nasales,Frasco Gotero 15 ml,RD$15.00,"FLuidificante, Descongestionante",2023
1471,Clotrimazol 1%  Crema,Tubo 30g,RD$10.00,Antifungicos,2023
1475,Clotrimazol 1% Solucion,Frasco Gotero 20 ml,RD$12.00,Antifungicos,2023
10231,Clotrimazol Ovulos ,Ovulo 500 mg,RD$6.00,Antifungicos,2023
9493,Codera Larga Unidad,Unidad,RD$180.00,Insumos Ortopédicos,2023
9492,Codera Mediana Unidad,Unidad,RD$180.00,Insumos Ortopédicos,2023
9498,Collarín Blando Largo,Unidad,RD$100.00,Insumos Ortopédicos,2023
9497,Collarín Blando Mediano,Unidad,RD$100.00,Insumos Ortopédicos,2023
9499,Collarín Rígido Ajustable Grande,Unidad,RD$350.00,Insumos Ortopédicos,2023
1900,"Complejo B (Vit.B1 100 mg, B2 10 mg,  B6 10mg, Nicotinamida",Vial 10 ml,RD$20.00,Vitaminas,2023
1898,Complejo B (Vit.B1 15mg + B2 1mg + B6 2.6mg + B12 2mcg + Nicotinamida 10mg),Tableta ,RD$0.50,Vitaminas,2023
1899,Complejo B (Vit.B1 50 mg + B6 50 mg + B12 200mcg ) 15 mL Jbe,Frasco 120 ml,RD$15.00,Vitaminas,2023
1784,Decanoato de Flufenazina ,Ampolla 25 mg/ml,RD$400.00,Antipsicótico,2023
9404,Deflazacort 6 mg Tableta Blíster,,,Corticosteroide,2023
1638,Dexametasona ,Tableta 0.5 mg,RD$1.50,Antiinflamatorio Esteroideo,2023
9299,DEXAMETASONA ,Tableta 4 mg,RD$5.00,Antiinflamatorio Esteroideo,2023
10250,Dexametasona Fosfato Sódico Iny. IM-IV,Ampolla 4 mg/ml,RD$5.00,Antiinflamatorio Esteroideo,2023
1876,Dextrosa al 50%  i.v.,Vial 20 ml,RD$15.00,"Soluciones Correctoras Desordenes de Agua, Electrolitos, y Acido Base",2023
1045,Diclofenac Sódico ,Ampolla 75 mg/3 ml,RD$2.00,Antiinflamatorio No Esteroides,2023
1043,Diclofenaco Dietilamonio1.16% Gel,Tubo 20 g,RD$10.00,Antiinflamatorio No Esteroides,2023
1047,Diclofenaco Sodico ,Tableta 50 mg,RD$0.20,Antiinflamatorio No Esteroides,2023
1168,Dicloxacilina ,Capsula 500 mg,RD$4.00,Antibacteriano/Antibioticos,2023
9333,Difenhidramina ,Tableta 25 mg,RD$0.50,Antihistamínico,2023
1852,Difenhidramina 10 mg/ml,Ampolla 2 ml,RD$10.00,Antihistamínico,2023
1851,Difenhidramina 12.5 mg/5mL,Frasco 60 ml,RD$15.00,Antihistamínico,2023
1441,Digoxina ,Tableta 0.25 mg,RD$1.00,Cardiovasculares/Antiarritmicos,2023
1598,Dimenhidrinato ,Tableta 50 mg,RD$0.50,Antihistamínico,2023
9413,Dimenhidrinato 15 mg/5 ml Jarabe,Frasco 60 ml,RD$15.00,Antihistamínico,2023
1170,Doxiciclina ,Capsula 100 mg,RD$1.00,Antibacteriano/Antibioticos,2023
1434,Enalapril Maleato ,Tableta 10 mg,RD$0.20,Cardiovasculares/Antihipertensivo,2023
1435,Enalapril Maleato  ,Tableta 20  mg,RD$0.20,Cardiovasculares/Antihipertensivo,2023
1173,Eritromicina  250 mg/5 mL,Frasco 120 ml,RD$50.00,Antibacteriano/Antibioticos,2023
10262,Eritromicina Estearato ,Tableta 500 mg,RD$5.00,Antibacteriano/Antibioticos,2023
9170,Eritropoyetina Humana  Jeringa Precargada,Ampolla 4000 UI/0.3 ml,RD$135.00,Antianémico,2023
11002,Eritropoyetina Humana Liofilizada,Vial,RD$550.00,Antianémico,2023
9102,Espirómetro,Unidad,RD$200.00,Insumo Hospitalario,2023
9369,Espironolactona ,Tableta 100 mg,RD$4.00,Cardiovasculares/Diurético,2023
9793,Espironolactona ,Tableta 25 mg,RD$2.00,Cardiovasculares/Diurético,2023
9337,Estrogenos Conjugados ,Tableta 0.625 mg,RD$5.00,Hormonas Estrogenas,2023
Hormonas Contraceptivas,Etinilestradiol + Levonorgestrel ,Tableta 30mcg/150 mcg,RD$20.00,Hormonas Contraceptivas,2023
1106,Fenitoína Sódica ,Tableta 100 mg,RD$8.00,Antiepiléptico,2023
9727,Fenitoina Sodica  125 mg/5mL Susp. Oral,Frasco 120 ml,RD$200.00,Antiepiléptico,2023
1256,Fluconazol  ,Capsula 150 mg,RD$2.50,Antifungicos,2023
9741,Fluconazol 50 mg/5mL Susp. Oral,Frasco 60 ml,RD$200.00,Antifungicos,2023
9181,Fluoxetina ,Tableta 20 mg,RD$6.00,Antidepresivo/Trastorno del humor,2023
9736,Fosfomicina ,Tableta 500 mg,RD$10.00,Antibacteriano/Antibioticos,2023
9735,Fosfomicina  250 mg/5ml Susp. Oral,Frasco 120 ml,RD$140.00,Antibacteriano/Antibioticos,2023
1574,Furosemida ,Tableta 40 mg,RD$0.30,Cardiovasculares/Diurético,2023
9063,Gasa Precortada 4 X 4 Sobre,Sobre 10 Unidades,RD$10.00,Insumo Hospitalario,2023
9808,Gentamicina 3mg/ml Gotas Oftalmicas,Frasco Gotero 5 ml,RD$30.00,Aminoglucósidos,2023
1175,Gentamicina Sulfato 40 mg/mL,Ampolla 8 mg/2 ml,RD$3.00,Aminoglucósidos,2023
1662,Glibenclamida 5 mg,Tableta 5 mg,RD$0.20,Insulinas y otros Hipoglucemiante,2023
9745,Gotas Oticas (Polimixina+Neomicina),Frasco Gotero 10 ml,RD$125.00,"Antibiotico, Anestesico, Antimicotico",2023
10264,Griseofulvina ,Tableta 500mg,RD$7.00,Antifungicos,2023
2167,Guante Examen Medium # 71/2,Par,RD$3.00,Insumo Hospitalario,2023
10771,Guantes de Goma Nitrilo talla M C/100 unidad,Par,RD$10.00,Insumo Hospitalario,2023
10764,"Guantes de Goma, Nitrilo talla L C/100 Unidad",Par,RD$10.00,Insumo Hospitalario,2023
1787,Haloperidol ,Tableta 5 mg,RD$1.00,Psicoterapéuticos,2023
1786,Haloperidol ,Tableta 10mg,RD$0.90,Psicoterapéuticos,2023
1790,Haloperidol Gotas 2 mg/mL,Frasco Gotero 15 ml,RD$16.00,Psicoterapéuticos,2023
1359,Heparina ,Vial 5000 UI/5 ml,RD$75.00,Anticoagulane,2023
10235,Hidralacina Clorhidrato   ,Tableta 50 mg,RD$40.00,Cardiovasculares/Diurético,2023
9794,Hidroclorotiazida ,Tableta 25 mg,RD$0.30,Cardiovasculares/Diurético,2023
1575,Hidroclorotiazida ,Tableta 50 mg,RD$0.30,Cardiovasculares/Diurético,2023
1514,Hidrocortisona 1% Pomada,Tubo 15 g,RD$20.00,Antiinflamatorio Esteroideo,2023
1640,Hidrocortisona 100 mg,Vial,RD$10.00,Antiinflamatorio Esteroideo,2023
10743,Hidroxido de Aluminio +hidroxido de Magnesio Gel +Simeticona Suspension,Sobre  ml,RD$25.00,Antiacido Antiflatulento,2023
9282,Hierro Sacarosa ,Ampolla 100 mg/5 ml,RD$40.00,Antianémico,2023
10236,Ibuprofeno,Tableta 400,RD$1.00,Antiinflamatorio No Esteroides,2023
1055,Ibuprofeno ,Tableta 600 mg,RD$1.00,Antiinflamatorio No Esteroides,2023
10237,Ibuprofeno  200mg/5ml Suspension,Frasco 60 ml,RD$30.00,Antiinflamatorio No Esteroides,2023
9274,Imipramina Clorhidrato ,Tableta 25 mg,RD$1.00,Antidepresivo/Trastorno del humor,2023
9643,Inmovilizador De Muñeca Derecha,Unidad,RD$160.00,Insumos Ortopédicos,2023
9647,Inmovilizador De Muñeca Izquierda,Unidad,RD$160.00,Insumos Ortopédicos,2023
1690,Inmunoglobulina Antitetánica (Humana),Vial 250 UI/ml,RD$500.00,Antitetanica,2023
9645,Insulina Glargina  Recombinante 100 UI/mL Jeringa Precargada,Ampolla Multidosis,RD$350.00,Insulinas y otros Hipoglucemiante,2023
1663,Insulina Intermedia NPH 100 UI/mL Vial 10 mL,Vial 10 ml,RD$110.00,Insulinas y otros Hipoglucemiante,2023
1664,Insulina Mixta 70/30 100 UI/mL Vial 10 mL,Vial 10 ml,RD$110.00,Insulinas y otros Hipoglucemiante,2023
1665,Insulina Regular (Cristalina) 100 UI/mL Vial 10mL,Vial 10 ml,RD$110.00,Insulinas y otros Hipoglucemiante,2023
10388,Ipratropio Bromuro 0.900 mcg/ml  Sol. Para Nebulizar,Ampolla,RD$50.00,Antiasmatico,2023
3308,Irbesartan ,Tableta 150 mg,,Antihipertensivo,2023
9526,Itraconazol ,Capsula 100 mg,RD$6.50,Antifungicos,2023
2387,Jabón Antiséptico (Benzalconio) Pasta 100 g,Unidad,RD$30.00,Desinfectantes/Antiséptico,2023
2392,Jabón de Avena  Pasta de 100 g,Unidad,RD$30.00,Desinfectantes/Antiséptico,2023
2389,Jabón de Azufre 10%  Pasta de 100 gr.,Unidad,RD$30.00,Desinfectantes/Antiséptico,2023
2020,Jeringa 3 ml,Unidad,RD$2.00,Insumo Hospitalario,2023
2022,Jeringa 5 mL,Unidad,RD$2.00,Insumo Hospitalario,2023
2023,Jeringa 10 mL,Unidad,RD$3.00,Insumo Hospitalario,2023
2029,Jeringa Insulina ,Unidad,RD$2.00,Insumo Hospitalario,2023
9427,Ketoconazol 2% Champú,Frasco 100 ml,RD$30.00,Antifungicos,2023
1481,Ketoconazol 2% Crema,Tubo 30 g,RD$12.00,Antifungicos,2023
9338,Lactulosa  66.7 g/100 mL,Frasco 240  ml,RD$150.00,Laxante Osmotico,2023
1339,Levodopa + Benserazida ,Tableta 200 mg+50 mg,RD$15.00,Antiparkinsonianos,2023
9732,Levofloxacina ,Tableta 500 mg,RD$2.50,Antibiótico/Quinolonas,2023
10268,Levotiroxina ,Tableta 25mcg,RD$1.50,Hormona Tiroidea,2023
10246,Levotiroxina ,Tableta 50 mcg,RD$1.50,Hormona Tiroidea,2023
9231,Levotiroxina  ,Tableta 0.1 mg,RD$1.50,Hormona Tiroidea,2023
1438,Lisinopril ,Tableta 20 mg,RD$2.00,Cardiovasculares/Antihipertensivo,2023
1437,Lisinopril ,Tableta 10 mg,RD$0.50,Cardiovasculares/Antihipertensivo,2023
1081,Loratadina  ,Tableta 10 mg,RD$0.50,Antihistamínico,2023
1084,Loratadina 5 mg/5mL Jarabe,Frasco 90 ml,RD$15.00,Antihistamínico,2023
9772,Losartan ,Tableta  100 mg,RD$1.50,Cardiovasculares/Antihipertensivo,2023
9392,Losartán Potásico ,Tableta 50 mg,RD$0.50,Cardiovasculares/Antihipertensivo,2023
2063,Mariposita No.21,Unidad,RD$2.00,Insumo Hospitalario,2023
2064,Mariposita No.23,Unidad,RD$2.00,Insumo Hospitalario,2023
2065,Mariposita No.25,Unidad,RD$2.00,Insumo Hospitalario,2023
9353,Mascarilla para Nebulizar Adulto,Unidad,RD$25.00,Insumo Hospitalario,2023
2419,Mascarilla para Nebulizar Pediátrica ,Unidad,RD$25.00,Insumo Hospitalario,2023
1217,Mebendazol ,Blíster 6 tableta,RD$3.00,Antihelmintico/Antiparasitario,2023
1218,Mebendazol ,Frasco 30 ml,RD$10.00,Antihelmintico/Antiparasitario,2023
9076,Mecobalamina ,Tableta 500 m cg,RD$5.00,Vitaminas,2023
1661,Metformina ,Tableta 8850 mg,RD$0.50,Insulinas y otros Hipoglucemiante,2023
10276,Metformina ,Tableta 500 mg,RD$0.50,Insulinas y otros Hipoglucemiante,2023
1661,Metformina ,Tableta 8850 mg,RD$0.50,Insulinas y otros Hipoglucemiante,2023
10238,Metildopa,Tableta 250 mg,RD$4.00,Cardiovasculares/Antihipertensivo,2023
1414,Metil-Dopa,Tableta 500  mg,RD$5.00,Cardiovasculares/Antihipertensivo,2023
1602,Metoclopramida ,Tableta 10 mg,RD$0.40,Antiemético,2023
10630,Metoprolol,Tableta 50 mg,RD$1.75,Cardiovasculares Antianginosos,2023
9070,Metoprolol ,Tableta 100 mg,RD$1.75,Cardiovasculares Antianginosos,2023
1235,Metronidazol ,Tableta 500 mg,RD$0.50,Amebicida,2023
10273,Metronidazol + Diyodohidroxiquinoleina ,Tableta 400 mg/200 mg,RD$7.00,Antihelmintico/Antiparasitario,2023
10274,Metronidazol + Diyodohidroxiquinoleina 400mg + 200mg,Frasco 120 ml,RD$85.00,Antihelmintico/Antiparasitario,2023
10339,Metronidazol Benzoato 200mg/5ml Susp. Oral,Frasco 120  ml,RD$20.00,Amebicida,2023
10347,Muleta Aluminio Adulto (L),Unidad,RD$300.00,Insumos Ortopédicos,2023
10348,Muleta de Aluminio para adolescentes (S),Unidad,RD$300.00,Insumos Ortopédicos,2023
10349,Muletas De Aluminio Grandes Para Adultos XL ,Unidad,RD$300.00,Vitaminas,2023
1905,"Mult. Lactante Sin Estim(Vit.A1500UI,D 400UI,C 35mg,B1 0.5mg,B2 0.5mg,B6 Niacinamina 8mg)",Frasco Gotero 15 ml,RD$20.00,Vitaminas,2023
10398,Multivitaminas Prenatales ,Capsula,RD$7.00,Vitaminas,2023
9340,Nafazolina 0.1% Solución Oftálmica,Frasco Gotero 10ml,RD$35.00,Descongestivo ocular,2023
9710,Naproxeno ,Tableta 550 ml,RD$7.00,Antiinflamatorio No Esteroides,2023
1418,Nifedipina ,Tableta 20 mg,RD$0.20,Cardiovasculares/Antihipertensivo,2023
1417,Nifedipina ,Tableta 10 mg,RD$0.20,Antioxitocico,2023
9744,"Nistatina 100,000 UI Óvulos Unid","Óvulos 100,000 UI",RD$5.00,Antifungicos,2023
9168,"Nistatina 100,000 UI/ mL Suspensión Frasco 30 mL",Frasco 30 ml,RD$20.00,Antifungicos,2023
