CodigoArticulo,DESCRIPCION,PRESENTACION,Precios,GrupoTerapeutico,Año
1787,Haloperidol ,Tableta 5 mg,RD$1.00,Psicoterapéuticos,2022
1786,Haloperidol ,Tableta 10mg,RD$0.90,Psicoterapéuticos,2022
1790,Haloperidol Gotas 2 mg/mL,Frasco Gotero 15 ml,RD$16.00,Psicoterapéuticos,2022
1359,Heparina ,Vial 5000 UI/5 ml,RD$75.00,Anticoagulane,2022
10235,Hidralacina Clorhidrato   ,Tableta 50 mg,RD$40.00,Cardiovasculares/Diurético,2022
9794,Hidroclorotiazida ,Tableta 25 mg,RD$0.30,Cardiovasculares/Diurético,2022
1575,Hidroclorotiazida ,Tableta 50 mg,RD$0.30,Cardiovasculares/Diurético,2022
1514,Hidrocortisona 1% Pomada,Tubo 15 g,RD$20.00,Antiinflamatorio Esteroideo,2022
1640,Hidrocortisona 100 mg,Vial,RD$10.00,Antiinflamatorio Esteroideo,2022
10743,Hidroxido de Aluminio +hidroxido de Magnesio Gel +Simeticona Suspension,Sobre  ml,RD$25.00,Antiacido Antiflatulento,2022
9282,Hierro Sacarosa ,Ampolla 100 mg/5 ml,RD$40.00,Antianémico,2022
10236,Ibuprofeno,Tableta 400,RD$1.00,Antiinflamatorio No Esteroides,2022
1055,Ibuprofeno ,Tableta 600 mg,RD$1.00,Antiinflamatorio No Esteroides,2022
10237,Ibuprofeno  200mg/5ml Suspension,Frasco 60 ml,RD$30.00,Antiinflamatorio No Esteroides,2022
9274,Imipramina Clorhidrato ,Tableta 25 mg,RD$1.00,Antidepresivo/Trastorno del humor,2022
9643,Inmovilizador De Muñeca Derecha,Unidad,RD$160.00,Insumos Ortopédicos,2022
9647,Inmovilizador De Muñeca Izquierda,Unidad,RD$160.00,Insumos Ortopédicos,2022
1690,Inmunoglobulina Antitetánica (Humana),Vial 250 UI/ml,RD$500.00,Antitetanica,2022
9645,Insulina Glargina  Recombinante 100 UI/mL Jeringa Precargada,Ampolla Multidosis,RD$350.00,Insulinas y otros Hipoglucemiante,2022
1663,Insulina Intermedia NPH 100 UI/mL Vial 10 mL,Vial 10 ml,RD$110.00,Insulinas y otros Hipoglucemiante,2022
1664,Insulina Mixta 70/30 100 UI/mL Vial 10 mL,Vial 10 ml,RD$110.00,Insulinas y otros Hipoglucemiante,2022
1665,Insulina Regular (Cristalina) 100 UI/mL Vial 10mL,Vial 10 ml,RD$110.00,Insulinas y otros Hipoglucemiante,2022
10388,Ipratropio Bromuro 0.900 mcg/ml  Sol. Para Nebulizar,Ampolla,RD$50.00,Antiasmatico,2022
3308,Irbesartan ,Tableta 150 mg,,Antihipertensivo,2022
9526,Itraconazol ,Capsula 100 mg,RD$6.50,Antifungicos,2022
2387,Jabón Antiséptico (Benzalconio) Pasta 100 g,Unidad,RD$30.00,Desinfectantes/Antiséptico,2022
2392,Jabón de Avena  Pasta de 100 g,Unidad,RD$30.00,Desinfectantes/Antiséptico,2022
2389,Jabón de Azufre 10%  Pasta de 100 gr.,Unidad,RD$30.00,Desinfectantes/Antiséptico,2022
2020,Jeringa 3 ml,Unidad,RD$2.00,Insumo Hospitalario,2022
2022,Jeringa 5 mL,Unidad,RD$2.00,Insumo Hospitalario,2022
2023,Jeringa 10 mL,Unidad,RD$3.00,Insumo Hospitalario,2022
2029,Jeringa Insulina ,Unidad,RD$2.00,Insumo Hospitalario,2022
9427,Ketoconazol 2% Champú,Frasco 100 ml,RD$30.00,Antifungicos,2022
1481,Ketoconazol 2% Crema,Tubo 30 g,RD$12.00,Antifungicos,2022
9338,Lactulosa  66.7 g/100 mL,Frasco 240  ml,RD$150.00,Laxante Osmotico,2022
1339,Levodopa + Benserazida ,Tableta 200 mg+50 mg,RD$15.00,Antiparkinsonianos,2022
9732,Levofloxacina ,Tableta 500 mg,RD$2.50,Antibiótico/Quinolonas,2022
10268,Levotiroxina ,Tableta 25mcg,RD$1.50,Hormona Tiroidea,2022
10246,Levotiroxina ,Tableta 50 mcg,RD$1.50,Hormona Tiroidea,2022
9231,Levotiroxina  ,Tableta 0.1 mg,RD$1.50,Hormona Tiroidea,2022
1438,Lisinopril ,Tableta 20 mg,RD$2.00,Cardiovasculares/Antihipertensivo,2022
1437,Lisinopril ,Tableta 10 mg,RD$0.50,Cardiovasculares/Antihipertensivo,2022
1081,Loratadina  ,Tableta 10 mg,RD$0.50,Antihistamínico,2022
1084,Loratadina 5 mg/5mL Jarabe,Frasco 90 ml,RD$15.00,Antihistamínico,2022
9772,Losartan ,Tableta  100 mg,RD$1.50,Cardiovasculares/Antihipertensivo,2022
9392,Losartán Potásico ,Tableta 50 mg,RD$0.50,Cardiovasculares/Antihipertensivo,2022
2063,Mariposita No.21,Unidad,RD$2.00,Insumo Hospitalario,2022
2064,Mariposita No.23,Unidad,RD$2.00,Insumo Hospitalario,2022
2065,Mariposita No.25,Unidad,RD$2.00,Insumo Hospitalario,2022
9353,Mascarilla para Nebulizar Adulto,Unidad,RD$25.00,Insumo Hospitalario,2022
2419,Mascarilla para Nebulizar Pediátrica ,Unidad,RD$25.00,Insumo Hospitalario,2022
1217,Mebendazol ,Blíster 6 tableta,RD$3.00,Antihelmintico/Antiparasitario,2022
